time_ms,symbol,funding,premium
1786251600037,NVDA,6.25e-06,0.0002546475
1786255200035,NVDA,6.25e-06,0.0001720799
1786258800066,NVDA,-4.381e-07,-0.0003070099
1786262400003,NVDA,6.25e-06,-4.48212e-05
1786266000034,NVDA,-1.31383e-05,-0.0005102126
1786269600046,NVDA,6.25e-06,6.46061e-05
1786273200046,NVDA,4.8221e-06,-0.0002228466
1786276800041,NVDA,6.25e-06,0.0001632009
1786280400020,NVDA,6.25e-06,9.38545e-05
1786284000018,NVDA,6.25e-06,0.0002522122
1786287600054,NVDA,6.25e-06,0.000236622
1786291200032,NVDA,6.25e-06,0.0002446235
1786294800013,NVDA,6.25e-06,0.0001667647
1786298400017,NVDA,6.25e-06,0.0003526036
1786302000035,NVDA,3.4635e-05,0.0008541598
1786305600032,NVDA,6.25e-06,0.000237543
1786309200021,NVDA,6.25e-06,5.94424e-05
1786312800020,NVDA,6.25e-06,0.0002204009
1786316400017,NVDA,-4.23527e-05,-0.0009776436
1786320000029,NVDA,-4.29178e-05,-0.0009866852
1786323600030,NVDA,6.25e-06,0.0003217542
1786327200015,NVDA,1.05895e-05,0.0004694313
1786330800079,NVDA,1.45999e-05,0.0005335985
1786334400005,NVDA,1.21232e-05,0.0004939713
1786338000028,NVDA,7.3598e-06,0.0004177569
1786341600066,NVDA,6.25e-06,0.0002130944
1786345200068,NVDA,1.24768e-05,0.0004996294
1786348800043,NVDA,6.25e-06,0.0003546246
1786352400010,NVDA,6.25e-06,0.000194073
1786356000067,NVDA,1.05424e-05,0.0004686778
1786359600043,NVDA,8.1734e-06,0.0004307747
1786363200013,NVDA,1.48687e-05,0.0005378995
1786366800029,NVDA,6.25e-06,0.0003777243
1786370400065,NVDA,6.2664e-06,0.0004002617
1786374000001,NVDA,1.87206e-05,0.0005995288
1786377600020,NVDA,1.45147e-05,0.0005322356
1786381200047,NVDA,7.4193e-06,0.000418709
1786384800012,NVDA,9.8934e-06,0.0004582952
1786388400045,NVDA,1.27788e-05,0.00050446
1786392000074,NVDA,1.39397e-05,0.0005230345
1786395600052,NVDA,6.7684e-06,0.000408295
1786399200028,NVDA,1.11105e-05,0.0004777685
1786402800066,NVDA,1.72203e-05,0.0005755255
1786406400019,NVDA,6.25e-06,0.0003912478
1786410000033,NVDA,1.2478e-05,0.0004996486
1786413600013,NVDA,6.25e-06,0.0003202513
1786417200120,NVDA,1.21734e-05,0.0004947749
1786420800086,NVDA,6.25e-06,0.0001603228
1786424400010,NVDA,6.25e-06,0.0001278935
1786428000024,NVDA,6.25e-06,0.0002435608
1786431600002,NVDA,6.25e-06,1.19583e-05
1786435200091,NVDA,6.25e-06,0.0002169515
1786438800123,NVDA,6.25e-06,5.78781e-05
1786442400054,NVDA,6.25e-06,-7.16679e-05
1786446000035,NVDA,6.25e-06,8.35898e-05
1786449600025,NVDA,6.25e-06,0.0002750668
1786453200053,NVDA,6.25e-06,0.0001899804
1786456800065,NVDA,9.3322e-06,0.0004493155
1786460400033,NVDA,6.25e-06,0.0002847308
1786464000039,NVDA,1.02569e-05,0.000464111
1786467600008,NVDA,2.0098e-05,0.000621568
1786471200017,NVDA,2.52877e-05,0.0007046032
1786474800065,NVDA,1.79275e-05,0.0005868406
1786478400007,NVDA,6.25e-06,0.0003522086
1786482000039,NVDA,1.81129e-05,0.0005898072
1786485600006,NVDA,1.89138e-05,0.0006026207
1786489200043,NVDA,3.0989e-05,0.0007958234
1786492800012,NVDA,3.03645e-05,0.0007858322
1786496400060,NVDA,3.31586e-05,0.0008305376
1786500000027,NVDA,1.68581e-05,0.0005697296
1786503600031,NVDA,2.1444e-05,0.0006431038
1786507200057,NVDA,2.68185e-05,0.000729096
1786251600037,TSLA,2.02317e-05,0.0006237066
1786255200035,TSLA,-3.49299e-05,-0.0008588777
1786258800066,TSLA,-2.20656e-05,-0.0006530496
1786262400003,TSLA,6.25e-06,0.0002659645
1786266000034,TSLA,-3.16313e-05,-0.0008061006
1786269600046,TSLA,-6.6658e-06,-0.0004066525
1786273200046,TSLA,-4.73167e-05,-0.0010570667
1786276800041,TSLA,6.25e-06,-0.0001605563
1786280400020,TSLA,6.25e-06,-0.000138521
1786284000018,TSLA,2.01092e-05,0.0006217471
1786287600054,TSLA,6.25e-06,0.0001140432
1786291200032,TSLA,6.25e-06,0.0003324567
1786294800013,TSLA,1.90878e-05,0.0006054042
1786298400017,TSLA,6.25e-06,0.0001978678
1786302000035,TSLA,2.5897e-05,0.0007143513
1786305600032,TSLA,6.25e-06,0.0001473487
1786309200021,TSLA,6.25e-06,-9.10738e-05
1786312800020,TSLA,1.06071e-05,0.0004697137
1786316400017,TSLA,-0.0001033342,-0.0019533467
1786320000029,TSLA,-3.74596e-05,-0.0008993534
1786323600030,TSLA,1.87546e-05,0.0006000743
1786327200015,TSLA,1.30125e-05,0.0005081993
1786330800079,TSLA,1.65741e-05,0.0005651858
1786334400005,TSLA,6.25e-06,0.0003498593
1786338000028,TSLA,6.8495e-06,0.0004095919
1786341600066,TSLA,6.25e-06,0.0003954552
1786345200068,TSLA,1.21321e-05,0.0004941136
1786348800043,TSLA,6.25e-06,0.0003892474
1786352400010,TSLA,6.25e-06,0.0003377145
1786356000067,TSLA,6.25e-06,0.0003278118
1786359600043,TSLA,6.25e-06,0.0003697651
1786363200013,TSLA,1.03795e-05,0.0004660723
1786366800029,TSLA,6.25e-06,0.0003977753
1786370400065,TSLA,6.25e-06,0.0003407483
1786374000001,TSLA,6.25e-06,0.000183038
1786377600020,TSLA,6.25e-06,0.000131826
1786381200047,TSLA,6.25e-06,0.0002244793
1786384800012,TSLA,6.25e-06,0.000199375
1786388400045,TSLA,6.25e-06,0.0002413584
1786392000074,TSLA,6.25e-06,0.0002994425
1786395600052,TSLA,6.25e-06,0.0002934079
1786399200028,TSLA,6.25e-06,0.0001072897
1786402800066,TSLA,6.25e-06,0.0001749231
1786406400019,TSLA,6.25e-06,0.0001915822
1786410000033,TSLA,6.25e-06,0.0001951404
1786413600013,TSLA,6.25e-06,0.0002757315
1786417200120,TSLA,6.25e-06,0.0002890947
1786420800086,TSLA,6.25e-06,0.0001812747
1786424400010,TSLA,1.28915e-05,0.0005062644
1786428000024,TSLA,6.25e-06,0.0002900494
1786431600002,TSLA,6.25e-06,6.76306e-05
1786435200091,TSLA,6.25e-06,4.78096e-05
1786438800123,TSLA,6.25e-06,0.0002157112
1786442400054,TSLA,6.25e-06,0.0003589852
1786446000035,TSLA,8.6175e-06,0.0004378807
1786449600025,TSLA,6.25e-06,-1.62121e-05
1786453200053,TSLA,6.25e-06,9.86602e-05
1786456800065,TSLA,6.25e-06,0.0002860387
1786460400033,TSLA,6.25e-06,0.0002110774
1786464000039,TSLA,1.72919e-05,0.0005766706
1786467600008,TSLA,1.19063e-05,0.0004905011
1786471200017,TSLA,6.25e-06,0.0003054907
1786474800065,TSLA,7.1324e-06,0.0004141191
1786478400007,TSLA,6.25e-06,0.0003044879
1786482000039,TSLA,6.25e-06,0.0002819352
1786485600006,TSLA,6.25e-06,0.0003311699
1786489200043,TSLA,1.05449e-05,0.0004687186
1786492800012,TSLA,6.25e-06,0.0003767253
1786496400060,TSLA,6.25e-06,0.0003703318
1786500000027,TSLA,6.25e-06,0.0003812007
1786503600031,TSLA,9.5479e-06,0.0004527664
1786507200057,TSLA,6.6299e-06,0.0004060785
1786251600037,AAPL,6.25e-06,0.0002024623
1786255200035,AAPL,6.25e-06,0.000111117
1786258800066,AAPL,6.25e-06,0.0002158329
1786262400003,AAPL,-6.8913e-06,-0.0004102616
1786266000034,AAPL,-1.30626e-05,-0.0005090008
1786269600046,AAPL,-8.6894e-06,-0.000439031
1786273200046,AAPL,6.25e-06,-0.0001191908
1786276800041,AAPL,6.25e-06,1.1027e-06
1786280400020,AAPL,6.25e-06,0.0003426024
1786284000018,AAPL,6.25e-06,0.0001780552
1786287600054,AAPL,6.25e-06,4.6659e-05
1786291200032,AAPL,6.25e-06,0.0002263491
1786294800013,AAPL,6.25e-06,0.0001323577
1786298400017,AAPL,6.25e-06,-3.20577e-05
1786302000035,AAPL,7.1972e-06,0.0004151559
1786305600032,AAPL,6.25e-06,9.79794e-05
1786309200021,AAPL,6.25e-06,-0.000139593
1786312800020,AAPL,6.25e-06,-7.65427e-05
1786316400017,AAPL,-9.0329e-06,-0.0004445264
1786320000029,AAPL,6.25e-06,0.0002759427
1786323600030,AAPL,-1.9134e-05,-0.0006061436
